Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 32.35      1.42     1.42 1009599233     0.00     0.00  std::vector<Operation*, std::allocator<Operation*> >::operator[](unsigned int)
 32.12      2.83     1.41  8471623     0.00     0.00  Bierwirth::trouverMachinePrec(std::vector<Operation*, std::allocator<Operation*> >&, int, int)
  6.61      3.12     0.29   169985     0.00     0.00  Bierwirth::evaluate(Data&)
  6.49      3.40     0.28 325877401     0.00     0.00  Operation::getNumeroMachine() const
  5.69      3.65     0.25 176158688     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned int)
  1.59      3.73     0.07 55413921     0.00     0.00  std::vector<std::vector<Operation, std::allocator<Operation> >, std::allocator<std::vector<Operation, std::allocator<Operation> > > >::operator[](unsigned int)
  1.59      3.79     0.07 55413881     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::operator[](unsigned int)
  1.59      3.87     0.07   336964     0.00     0.00  Bierwirth::getPositionOperation(Data const&, Operation*)
  0.68      3.90     0.03  7744490     0.00     0.00  std::vector<Operation, std::allocator<Operation> >::operator[](unsigned int) const
  0.68      3.92     0.03  3654722     0.00     0.00  std::_List_const_iterator<Operation*>::operator++()
  0.68      3.96     0.03   846919     0.00     0.00  std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned int, int const&)
  0.46      3.98     0.02 11970875     0.00     0.00  Operation::setPere(Operation*)
  0.46      4.00     0.02 11970875     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.46      4.01     0.02  5374722     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.46      4.04     0.02  1699850     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.46      4.05     0.02  1382047     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.46      4.08     0.02   169985     0.00     0.00  std::vector<Operation*, std::allocator<Operation*> >::_M_fill_insert(__gnu_cxx::__normal_iterator<Operation**, std::vector<Operation*, std::allocator<Operation*> > >, unsigned int, Operation* const&)
  0.46      4.09     0.02   169985     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<Operation*>::__value, Operation**>::__type std::__fill_n_a<Operation**, unsigned int, Operation*>(Operation**, unsigned int, Operation* const&)
  0.46      4.12     0.02    37187     0.00     0.00  std::__cxx11::_List_base<Operation*, std::allocator<Operation*> >::_M_clear()
  0.34      4.13     0.01                             Operation::setNumeroMachine(int)
  0.23      4.14     0.01  9331139     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.23      4.15     0.01  7744490     0.00     0.00  std::vector<std::vector<Operation, std::allocator<Operation> >, std::allocator<std::vector<Operation, std::allocator<Operation> > > >::operator[](unsigned int) const
  0.23      4.16     0.01  5937451     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.23      4.17     0.01  5471836     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.23      4.18     0.01  3674950     0.00     0.00  std::_List_const_iterator<Operation*>::operator!=(std::_List_const_iterator<Operation*> const&) const
  0.23      4.19     0.01  3654722     0.00     0.00  std::_List_const_iterator<Operation*>::operator*() const
  0.23      4.20     0.01  3393688     0.00     0.00  std::_Miter_base<int*>::iterator_type std::__miter_base<int*>(int*)
  0.23      4.21     0.01  1890502     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.23      4.22     0.01  1696844     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.23      4.23     0.01  1696844     0.00     0.00  int* std::__copy_move_a2<false, int*, int*>(int*, int*, int*)
  0.23      4.24     0.01  1696844     0.00     0.00  int* std::uninitialized_copy<int*, int*>(int*, int*, int*)
  0.23      4.25     0.01  1693838     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.23      4.26     0.01  1519928     0.00     0.00  std::_List_iterator<Operation*>::_List_iterator(std::__detail::_List_node_base*)
  0.23      4.27     0.01   849925     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.23      4.28     0.01   846919     0.00     0.00  std::vector<int, std::allocator<int> >::resize(unsigned int, int)
  0.23      4.29     0.01   846919     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned int, int>(int*, unsigned int, int const&)
  0.23      4.30     0.01   724136     0.00     0.00  std::__cxx11::_List_base<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_get_Node_allocator() const
  0.23      4.31     0.01   688690     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >)
  0.23      4.32     0.01   362068     0.00     0.00  __gnu_cxx::new_allocator<std::pair<Operation*, Operation*> >::construct(std::pair<Operation*, Operation*>*, std::pair<Operation*, Operation*> const&)
  0.23      4.33     0.01   362068     0.00     0.00  std::__cxx11::_List_base<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_get_node()
  0.23      4.34     0.01   362068     0.00     0.00  std::__cxx11::list<std::pair<Operation*, Operation*>, std::allocator<std::pair<Operation*, Operation*> > >::_M_insert(std::_List_iterator<std::pair<Operation*, Operation*> >, std::pair<Operation*, Operation*> const&)
  0.23      4.35     0.01   344345     0.00     0.00  __gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > > std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >, __gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > > >(__gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >, __gnu_cxx::__normal_iterator<Operation const*, std::vector<Operation, std::allocator<Operation> > >, __gnu_cxx::__normal_iterator<Operation*, std::vector<Operation, std::allocator<Operation> > >)
  0.23      4.36     0.01   336964     0.00     0.00  std::_List_iterator<std::pair<Operation*, Operation*> >::operator->() const
  0.23      4.37     0.01   193658     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  0.23      4.38     0.01   193658     0.00     0.00  std::__cxx11::list<Operation*, std::allocator<Operation*> >::operator=(std::__cxx11::list<Operation*, std::allocator<Operation*> > const&)
  0.11      4.38     0.01 11970875     0.00     0.00  Operation::getDuree() const
  0.11      4.39     0.01                             Operation::setDuree(int)
  0.00      4.39     0.00  4952526     0.00     0.00  std::_List_iterator<Operation*>::operator*() const
  0.00      4.39     0.00  4513127     0.00     0.00  std::_List_iterator<Operation*>::operator!=(std::_List_iterator<Operation*> const&) const
  0.00      4.39     0.00  4441777     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      4.39     0.00  4115034     0.00     0.00  std::_List_iterator<Operation*>::operator++()
  0.00      4.39     0.00  3258152     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      4.39     0.00  2546769     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      4.39     0.00  1869835     0.00     0.00  std::_Iter_base<Operation**, false>::_S_base(Operation**)
  0.00      4.39     0.00  1704356     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      4.39     0.00  1704356     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      4.39     0.00  1704356     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      4.39     0.00  1696844     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
